pid,hid,area_siz,gender,age_gr,age,mob_use,sns_use,freq_sns1,year
1910002,19100,1,2,6,50,1,2, ,2015
1910003,19100,1,1,3,24,1,1,2,2015
1910004,19100,1,1,2,19,1,2, ,2015
1960001,19600,1,1,8,77,1,2, ,2015
1960002,19600,1,2,8,70,1,2, ,2015
1980001,19800,1,1,5,46,1,2, ,2015
1990001,19900,1,1,6,50,1,1,12,2015
1990002,19900,1,2,5,48,1,1,12,2015
1990003,19900,1,1,3,20,1,1,12,2015
1990004,19900,1,1,2,15,1,1,12,2015
2000002,20000,1,2,6,57,1,2, ,2015
2000005,20000,1,1,2,17,1,1,12,2015
2010001,20100,1,2,7,63,1,1,12,2015
2010002,20100,1,1,4,35,1,1,12,2015
2020001,20200,1,2,4,39,1,1,12,2015
2030001,20300,1,1,4,34,1,2, ,2015
2030002,20300,1,2,4,35,1,1,12,2015
2040001,20400,1,2,6,53,1,1,12,2015
2050001,20500,1,1,5,45,1,1,12,2015
2060001,20600,1,2,8,82,1,2, ,2015
2070002,20700,1,2,5,49,1,1,12,2015
2080001,20800,1,1,6,55,1,2, ,2015
2080002,20800,1,2,6,52,1,1,12,2015
2080003,20800,1,2,3,25,1,1,12,2015
2080004,20800,1,2,3,21,1,1,12,2015
2090001,20900,1,1,8,87,1,2, ,2015
2100001,21000,1,1,8,77,1,2, ,2015
2100002,21000,1,2,7,60,1,2, ,2015
2110001,21100,1,1,7,67,1,2, ,2015
2110002,21100,1,2,7,62,1,2, ,2015
2110003,21100,1,1,4,36,1,1,12,2015
2120001,21200,1,1,8,77,1,2, ,2015
2120002,21200,1,2,8,73,1,2, ,2015
2130001,21300,1,1,8,72,2,2, ,2015
2130002,21300,1,2,8,70,1,2, ,2015
2140002,21400,1,2,7,66,1,2, ,2015
2150001,21500,1,1,7,67,1,2, ,2015
2150002,21500,1,2,6,59,1,1,12,2015
2170001,21700,1,1,5,47,1,1,12,2015
2170002,21700,1,2,5,43,1,1,12,2015
2170003,21700,1,2,2,19,1,1,12,2015
2180003,21800,1,2,3,23,1,1,12,2015
2190001,21900,1,1,5,40,1,1,12,2015
2190002,21900,1,2,4,36,1,1,12,2015
2200002,22000,1,2,6,59,1,2, ,2015
