사업장명,도로명전체,인허가일자,영업상태명,위생업태명,x_wgs84,y_wgs84
카페토스피아,경기도 수원시 권선구 일월천로16번길 30 (구운동),20120620,운영중,커피숍,126.97487054509365,37.28348584876186
카페베네원천유원지점,"경기도 수원시 영통구 월드컵로42번길 101 (원천동, 590 수원광교B7BL에일린의뜰1204동 B113,B114,B115호)",20130326,운영중,커피숍,124.87027781269322,32.57392676984479
로빈스네스트,"경기도 수원시 영통구 에듀타운로 24 (이의동, 1341-4 그린프라자 102호)",20130405,폐업 등,커피숍,127.05232797117273,37.2852336103401
할리스커피(광교도청역점),"경기도 수원시 영통구 도청로17번길 40 (이의동, 1341-2 외1필지 115,116호)",20131007,운영중,커피숍,127.05292041102088,37.28500663149319
갤러리PC수원영통본점,"경기도 수원시 영통구 반달로7번길 16, 405호 (영통동, e폴리스)",20140805,운영중,커피숍,127.07436251577475,37.25264301508731
에이케이에스앤디(주) 파사드커피 수원점,"경기도 수원시 팔달구 덕영대로 924, 1층 (매산로1가, AK)",20141128,운영중,커피숍,126.99991446398792,37.266161584438024
현공방카페,"경기도 수원시 팔달구 동말로78번길 26, 1층 (화서동)",20141212,운영중,커피숍,127.00255646702091,37.27761198293686
피레네,"경기도 수원시 영통구 청명로21번길 16 (영통동, 1029-9번지 5층)",20110118,운영중,커피숍,127.07946003394444,37.250272339477704
카페드마티네 수원점,"경기도 수원시 팔달구 덕영대로 924 (매산로1가, AK플라자6층)",20110926,운영중,커피숍,126.99991446398792,37.266161584438024
그남자 브런치,경기도 수원시 장안구 장안로89번길 33-1 (정자동),20120810,운영중,커피숍,127.00047746430846,37.29131842187464
이남옥커피,"경기도 수원시 팔달구 권광로207번길 13, 1층 (인계동)",20120814,운영중,커피숍,127.03259217258355,37.266058794790716
할리스커피,"경기도 수원시 팔달구 효원로 299 (인계동, 경인하이엔드호텔 104호,105호,106호)",20131023,운영중,커피숍,127.03463078237111,37.26146404730143
키다리아저씨,"경기도 수원시 팔달구 경수대로466번길 52, 1층 (인계동, 드라마시티)",20140402,폐업 등,커피숍,127.02987078616658,37.26678842229578
투썸플레이스 광교역점,"경기도 수원시 영통구 대학1로 47, 지1층,1층 (이의동)",20140407,운영중,커피숍,127.04494547422156,37.30011624272448
카인드커피,"경기도 수원시 영통구 삼성로168번길 5 (매탄동, 삼성중앙빌딩)",20140922,운영중,커피숍,127.05736381291067,37.25813762819888
카페보니또,경기도 수원시 영통구 대학1로8번길 60 (이의동),20150106,운영중,커피숍,127.04450534528273,37.29794902330732
더칼디(The Kaldi),"경기도 수원시 권선구 곡선로50번길 5-2 (곡반정동, 2층 일부)",20150120,운영중,커피숍,127.02977996826154,37.238362092935795
