pid,hid,area,area_siz,hhld_siz,fly_typ,gender,byear,age_gr,age,marry,income_gr,job,job_type,job_etc,mob_use,mob_num,mob_csp,mob_dev,c01,c01_gr,c02,c02_gr,c03,c03_gr,c04,c04_gr,c05,c05_gr,app_pay,appin_pay,app_num,app_num_gr,appin_num,appin_gr,c06,c06_gr,freq_app1,freq_app2,freq_app3,sns_use,freq_sns1,freq_sns2,freq_sns3,cmt_board,wt_board,wt_news,rating,wt_wiki,wt_sns,rating_sns,sns_read,sns_write,sns_share,sns_eng,sns_priv,news_med1,news_med2,news_med3,news_plat1,news_plat2,news_plat3,channel,shop,shop_dev,shop_pay
460001,4600,1,1,2,2,1,1972,5,47,2,7,1,1, ,1,1,2,1, , ,0,1, , ,0,1, , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , ,2, , ,3, , ,1,1,1,1
460002,4600,1,1,2,2,2,1976,5,43,2,4,1,1, ,1,1,1,1,0,1,0,1, , ,0,1, , ,2,2, , , , , , ,9,8,11,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1,1,1,1
470001,4700,1,1,3,3,1,1962,6,57,2,6,1,2, ,1,1,1,1,0,1,0,1,0,1, , , , ,2,2, , , , , , ,11,8,6,1,12, , ,1,1,1,1,1,1,1,5,9,9,9,3,3, , ,3, , ,7,2, , 
470002,4700,1,1,3,3,2,1936,8,83,4,1,2, ,4,1,0, , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7, , , 
470003,4700,1,1,3,3,2,1969,6,50,2,4,1,1, ,1,1,1,1,1,1,1,1, , , , , , ,2,2, , , , , , ,10,6,8,2, , , ,1,1,1,1,1,1,1, , , , , ,3, , ,3, , ,7,2, , 
480001,4800,1,1,2,2,1,1940,8,79,2,5,1,1, ,1,0, , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7, , , 
480002,4800,1,1,2,2,2,1946,8,73,2,1,2, ,2,1,0, , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7,2, , 
490001,4900,1,1,3,3,2,1964,6,55,2,5,1,1, ,1,1,3,1, , , , , , , , , , ,2,2, , , , , , ,8,9,6,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1,2, , 
490003,4900,1,1,3,3,1,1995,3,24,1,1,2, ,1,1,1,2,1, , ,0,1,2,1,5,2, , ,2,2, , , , , , ,11,8,16,1,23,15, ,1,1,1,1,1,1,1,4,7,7,7,1,3, , ,3, , ,1,1,1,1
500001,5000,1,1,1,1,2,1961,6,58,4,4,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,11,8,9,1,12, , ,1,1,1,1,1,1,1,4,9,9,9,3,3, , ,3, , ,1, , , 
