20124074,11,건축학개론,2012-03-22,"30,222,696,000",2.1%,"4,111,068",593,"106,067"
20113743,12,댄싱퀸,2012-01-18,"30,130,775,500",2.1%,"4,058,225",544,"80,987"
20113535,13,부러진 화살,2012-01-18,"25,878,629,500",1.8%,"3,451,025",530,"71,560"
20113885,14,맨 인 블랙 3,2012-05-24,"27,301,520,070",1.9%,"3,379,762",770,"69,538"
20128274,15,레미제라블,2012-12-19,"23,428,605,500",1.6%,"3,210,107",696,"33,153"
20088506,16,26년,2012-11-29,"21,111,878,145",1.5%,"2,940,475",611,"50,044"
20124075,17,내가 살인범이다,2012-11-08,"20,392,266,000",1.4%,"2,729,798",547,"58,409"
20126469,18,브레이킹 던 part2,2012-11-15,"18,909,583,065",1.3%,"2,654,817",665,"56,995"
20113533,19,후궁 : 제왕의 첩,2012-06-06,"19,330,302,500",1.3%,"2,636,320",624,"69,104"
20125048,20,호빗: 뜻밖의 여정,2012-12-13,"21,724,069,066",1.5%,"2,605,124","1,028","44,977"
20112207,21,미션임파서블:고스트프로토콜,2011-12-15,"19,536,876,000",1.3%,"2,533,735",697,"53,514"
20124050,22,화차,2012-03-08,"18,459,428,000",1.3%,"2,436,438",548,"62,643"
20125920,23,이웃사람,2012-08-22,"18,088,462,369",1.2%,"2,434,269",600,"56,752"
20113461,24,007 스카이폴,2012-10-26,"17,487,213,000",1.2%,"2,376,145",748,"51,357"
20128447,25,테이큰 2,2012-09-27,"17,581,098,553",1.2%,"2,308,596",682,"51,344"
20112134,26,배틀쉽,2012-04-11,"16,545,921,500",1.1%,"2,241,687",736,"53,109"
20113862,27,장화신은 고양이,2012-01-12,"17,602,643,500",1.2%,"2,080,445",593,"45,451"
20124039,28,타워,2012-12-25,"14,658,256,500",1.0%,"2,014,589",617,"22,278"
20124045,29,코리아,2012-05-03,"13,448,848,500",0.9%,"1,872,681",537,"49,679"
20124936,30,나의 PS 파트너,2012-12-06,"13,548,606,616",0.9%,"1,786,831",552,"37,625"
20124399,31,반창꼬,2012-12-19,"12,459,852,719",0.9%,"1,730,535",466,"26,039"
20113916,32,러브픽션,2012-02-29,"13,200,412,500",0.9%,"1,726,202",617,"44,130"
20124142,33,언터처블: 1%의 우정,2012-03-22,"12,735,040,000",0.9%,"1,720,472",454,"48,976"
20126667,34,아이스 에이지 4: 대륙 이동설,2012-07-25,"12,291,969,704",0.8%,"1,648,110",501,"26,899"
20124063,35,공모자들,2012-08-29,"12,240,964,500",0.8%,"1,646,142",496,"44,959"
20124136,36,마다가스카3 : 이번엔 서커스다!,2012-06-06,"12,521,043,500",0.9%,"1,629,799",564,"34,150"
20110249,37,하울링,2012-02-16,"11,765,293,500",0.8%,"1,612,554",550,"44,753"
20124057,38,용의자X,2012-10-18,"11,241,013,000",0.8%,"1,552,055",553,"42,989"
20126406,39,새미의 어드벤쳐 2,2012-08-01,"10,856,204,000",0.7%,"1,457,380",486,"26,436"
20124065,40,차형사,2012-05-30,"9,752,555,296",0.7%,"1,346,754",433,"39,152"
20124066,41,은교,2012-04-25,"9,918,274,444",0.7%,"1,346,359",521,"41,683"
20124400,42,간첩,2012-09-20,"9,316,548,500",0.6%,"1,310,895",576,"41,726"
20124032,43,간기남,2012-04-11,"9,356,404,500",0.6%,"1,246,185",396,"38,155"
20127634,44,메리다와 마법의 숲,2012-09-27,"9,024,766,000",0.6%,"1,231,024",479,"22,087"
20125647,45,토탈 리콜,2012-08-15,"8,958,236,000",0.6%,"1,219,637",448,"27,089"
20124049,46,R2B: 리턴투베이스,2012-08-15,"8,602,921,371",0.6%,"1,201,944",539,"32,881"
20124064,47,돈의 맛,2012-05-17,"8,780,178,611",0.6%,"1,166,018",643,"36,922"
20113653,48,잃어버린 세계를 찾아서 2: 신비의 섬,2012-01-19,"9,784,305,000",0.7%,"1,149,628",398,"27,236"
20113886,49,회사원,2012-10-11,"8,321,175,000",0.6%,"1,110,523",549,"41,275"
20126407,50,가디언즈,2012-11-29,"8,083,010,500",0.6%,"1,056,250",470,"21,045"
20127593,1,7번방의 선물,2013-01-23,"91,431,914,670",5.9%,"12,811,206",866,"166,815"
20126674,2,설국열차,2013-08-01,"67,010,087,500",4.3%,"9,349,993","1,128","124,823"
20126091,3,관상,2013-09-11,"66,005,427,500",4.3%,"9,134,581","1,240","125,073"
20121621,4,아이언맨 3,2013-04-25,"70,806,364,000",4.6%,"9,001,331","1,389","163,584"
20124083,5,베를린,2013-01-30,"52,355,568,637",3.4%,"7,166,290",894,"111,744"
20126672,6,은밀하게 위대하게,2013-06-05,"48,700,887,413",3.1%,"6,959,083","1,341","117,461"
20134803,7,변호인,2013-12-18,"40,953,398,000",2.6%,"5,687,047",923,"55,006"
20136049,8,숨바꼭질,2013-08-14,"39,602,977,500",2.6%,"5,604,103",779,"88,062"
20136052,9,더 테러 라이브,2013-07-31,"39,869,706,381",2.6%,"5,584,139",809,"93,488"
20122783,10,감시자들,2013-07-03,"39,380,162,179",2.5%,"5,508,017",949,"100,309"
20122122,11,월드 워 Z,2013-06-20,"38,555,356,000",2.5%,"5,237,525",964,"100,823"
20124401,12,신세계,2013-02-21,"34,881,330,905",2.2%,"4,682,492",671,"90,580"
20124935,13,박수건달,2013-01-09,"28,343,986,569",1.8%,"3,893,216",603,"60,585"
20124086,14,스파이,2013-09-05,"24,509,278,305",1.6%,"3,435,802",785,"72,796"
20139221,15,그래비티,2013-10-17,"31,214,018,600",2.0%,"3,194,693",636,"80,584"
20124039,16,타워,2012-12-25,"22,996,601,500",1.5%,"3,166,425",638,"58,869"
20124937,17,감기,2013-08-14,"21,774,884,000",1.4%,"3,117,859",806,"55,046"
20138355,18,토르: 다크 월드,2013-10-30,"22,525,808,500",1.5%,"3,039,889",733,"78,095"
20136962,19,레드: 더 레전드,2013-07-18,"21,511,371,970",1.4%,"3,004,649",739,"55,733"
20137044,20,친구 2,2013-11-14,"21,795,237,513",1.4%,"2,969,900",968,"69,856"
20135428,21,어바웃 타임,2013-12-05,"20,908,973,000",1.3%,"2,856,065",568,"49,967"
20138881,22,나우 유 씨 미 : 마술사기단,2013-08-22,"19,146,691,869",1.2%,"2,718,227",691,"54,658"
20134582,23,소원,2013-10-02,"18,529,862,600",1.2%,"2,711,083",651,"72,329"
20128274,24,레미제라블,2012-12-19,"19,635,813,500",1.3%,"2,707,479",592,"49,348"
20136961,25,퍼시픽 림,2013-07-11,"20,477,374,512",1.3%,"2,539,113","1,005","55,655"
20123383,26,화이: 괴물을 삼킨 아이,2013-10-09,"17,695,412,795",1.1%,"2,394,453",817,"59,049"
20131381,27,컨저링,2013-09-17,"16,353,225,777",1.1%,"2,262,758",563,"48,616"
20137961,28,맨 오브 스틸,2013-06-13,"17,092,964,063",1.1%,"2,182,227",998,"55,514"
20124938,29,용의자,2013-12-24,"15,629,492,500",1.0%,"2,176,752",807,"26,814"
20134267,30,호빗: 스마우그의 폐허,2013-12-12,"16,564,184,549",1.1%,"2,115,878",811,"35,223"
20122784,31,몽타주,2013-05-16,"15,002,458,500",1.0%,"2,095,592",544,"53,195"
20137549,32,터보,2013-07-25,"13,116,737,000",0.8%,"1,924,414",634,"28,783"
20128690,33,연애의 온도,2013-03-21,"13,798,864,446",0.9%,"1,865,195",567,"57,847"
20113972,34,지.아이.조 2,2013-03-28,"14,457,048,500",0.9%,"1,855,917",766,"62,627"
20135221,35,분노의 질주: 더 맥시멈,2013-05-22,"13,210,338,042",0.9%,"1,790,916",657,"44,371"
20129606,36,공범,2013-10-24,"12,333,110,882",0.8%,"1,766,285",611,"51,425"
20134123,37,집으로 가는 길,2013-12-11,"12,373,339,745",0.8%,"1,763,231",740,"39,811"
20125333,38,전설의 주먹,2013-04-10,"12,777,314,500",0.8%,"1,744,585",724,"57,593"
20129368,39,파파로티,2013-03-14,"11,825,934,000",0.8%,"1,716,429",552,"53,601"
20123329,40,스타트렉 다크니스,2013-05-30,"12,964,828,000",0.8%,"1,605,271",607,"40,504"
20128386,41,라이프 오브 파이,2013-01-01,"15,812,506,500",1.0%,"1,588,373",392,"32,722"
20134181,42,오블리비언,2013-04-11,"11,165,841,500",0.7%,"1,515,356",634,"47,871"
20136219,43,위대한 개츠비,2013-05-16,"10,581,329,643",0.7%,"1,445,248",562,"36,008"
20123387,44,다이하드: 굿 데이 투 다이,2013-02-06,"10,825,703,000",0.7%,"1,438,056",459,"33,055"
20126671,45,런닝맨,2013-04-04,"10,060,239,500",0.6%,"1,422,844",567,"45,995"
20124082,46,미스터 고,2013-07-17,"9,337,976,000",0.6%,"1,328,888",840,"38,263"
20136061,47,결혼전야,2013-11-21,"8,434,175,719",0.5%,"1,212,843",524,"38,819"
20123381,48,깡철이,2013-10-02,"8,572,344,462",0.6%,"1,209,363",707,"43,102"
20137811,49,엘리시움,2013-08-29,"9,017,994,500",0.6%,"1,207,732",588,"31,515"
20129114,50,더 웹툰: 예고살인,2013-06-27,"8,537,683,070",0.6%,"1,201,457",541,"35,931"
20129370,1,명량,2014-07-30,"135,748,398,910",8.2%,"17,613,682","1,587","188,611"
20136803,2,겨울왕국,2014-01-16,"82,461,504,400",5.0%,"10,296,101","1,010","157,683"
20149120,3,인터스텔라,2014-11-06,"80,671,424,300",4.8%,"10,105,247","1,410","166,218"
20136064,4,해적: 바다로 간 산적,2014-08-06,"66,370,682,706",4.0%,"8,666,046",910,"133,350"
20131102,5,수상한 그녀,2014-01-22,"62,705,348,249",3.8%,"8,657,982","1,027","136,975"
20134803,6,변호인,2013-12-18,"41,918,383,800",2.5%,"5,687,571",925,"97,261"
20137048,7,국제시장,2014-12-17,"41,089,567,596",2.5%,"5,345,677",966,"63,603"
20122021,8,트랜스포머: 사라진 시대,2014-06-25,"44,012,752,845",2.6%,"5,295,836","1,602","107,875"
20123501,9,군도: 민란의 시대,2014-07-23,"36,988,022,499",2.2%,"4,774,931","1,394","67,237"
20148807,10,엣지 오브 투모로우,2014-06-04,"38,732,961,201",2.3%,"4,699,307",801,"94,559"
20147669,11,엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,"34,654,558,766",2.1%,"4,313,871","1,056","82,722"
20135661,12,어메이징 스파이더맨 2,2014-04-23,"34,869,101,800",2.1%,"4,168,353","1,312","91,715"
20134804,13,타짜-신의 손,2014-09-03,"32,373,120,927",1.9%,"4,015,361",890,"80,584"
20148973,14,혹성탈출: 반격의 서막,2014-07-10,"31,514,053,095",1.9%,"4,002,560",956,"72,881"
20147790,15,캡틴 아메리카: 윈터 솔져,2014-03-26,"31,711,040,385",1.9%,"3,963,251","1,106","110,109"
20139183,16,역린,2014-04-30,"29,894,266,890",1.8%,"3,849,552","1,054","83,296"
20141111,17,"님아, 그 강을 건너지 마오",2014-11-27,"29,845,829,479",1.8%,"3,846,378",806,"67,170"
20139201,18,신의 한 수,2014-07-03,"28,812,027,456",1.7%,"3,566,852",794,"77,109"
20130442,19,끝까지 간다,2014-05-29,"27,007,303,900",1.6%,"3,450,305",645,"84,875"
20149629,20,비긴 어게인,2014-08-13,"27,098,834,504",1.6%,"3,427,524",525,"82,684"
