사업장명,도로명전체,인허가일자,영업상태명,위생업태명,GRS80_X,GRS80_Y,x_wgs84,y_wgs84
맘모스통닭,"경기도 안양시 동안구 엘에스로 47 (호계동,1층)",19960515,폐업 등,통닭(치킨),195971.490168,529841.318912,126.95452174593726,37.367877008914924
달그락,"경기도 안양시 동안구 동안로159번길 26, 106호 (비산동, 샛별아파트 상가동)",20121112,운영중,통닭(치킨),195474.126668,532606.673243,126.9488900545557,37.392791224459444
후랭크치킨,"경기도 안양시 동안구 동안로159번길 26, 108호 (비산동, 샛별아파트상가동)",19950215,운영중,통닭(치킨),195474.126668,532606.673243,126.9488900545557,37.392791224459444
눈물떡볶이,"경기도 안양시 동안구 관악대로374번길 18 (관양동, 지상1층)",20010703,운영중,통닭(치킨),196863.444079,533788.500343,126.96457437316164,37.403445481376814
또래오래(평촌2호점),"경기도 안양시 동안구 흥안대로492번길 5 (관양동, 지상1층 일부)",20010626,운영중,통닭(치킨),198020.383603,533147.297322,126.97764306656612,37.39767129883447
보드람,"경기도 안양시 동안구 인덕원로24번길 41 (관양동, 1층)",19951005,운영중,통닭(치킨),197819.025276,533488.212685,126.97536800736525,37.400742567544135
후라이드참잘하는집,"경기도 안양시 동안구 임곡로 16 (비산동, 안양임곡휴먼시아 가상가동 105호)",20131021,운영중,통닭(치킨),193921.709402,533619.771855,126.93135054564264,37.40191058058278
치킨하우스,경기도 안양시 동안구 평촌대로 384 (비산동),19910211,운영중,통닭(치킨),195576.139111,533949.393214,126.95003403263779,37.40488990893944
호식이두마리치킨,"경기도 안양시 동안구 비산로 42 (비산동, 지상1층)",20080605,운영중,통닭(치킨),193882.344999,533481.320078,126.93090710167891,37.40066284265133
훌랄라참숯바베큐대림대점,"경기도 안양시 동안구 임곡로 16 (비산동, 안양임곡휴먼시아상가동 111호)",20070817,운영중,통닭(치킨),193921.709402,533619.771855,126.93135054564264,37.40191058058278
투마리치킨안양관양점,"경기도 안양시 동안구 관평로313번길 20, 지상1층 (관양동)",20131108,운영중,통닭(치킨),196125.831374,533909.050643,126.95624282483092,37.40452887481636
치어스(안양호계점),"경기도 안양시 동안구 경수대로 757, 1층 (호계동)",20130916,운영중,통닭(치킨),195400.290177,532127.179492,126.94805921230508,37.38847051469118
아삭스클럽후라이드치킨,"경기도 안양시 동안구 경수대로 691, 지상2층 (호계동)",20130628,운영중,통닭(치킨),195730.082748,531578.995271,126.95178645352456,37.383532824598255
네네치킨(관양지구점),"경기도 안양시 동안구 동편로27번길 39, 1층 (관양동)",20130422,폐업 등,통닭(치킨),197485.051596,534290.688849,126.97159336972989,37.407972197435306
호식이두마리치킨,"경기도 안양시 만안구 장내로75번길 21 (안양동,지상1층)",20080521,운영중,통닭(치킨),192586.428865,532896.457547,126.91627687836701,37.39538365169576
비어클랜,"경기도 안양시 만안구 성결대학로 29 (안양동,지상1층)",20100316,운영중,통닭(치킨),193886.763963,531455.600568,126.93097374708931,37.38241069241799
굽스&떡갈비,"경기도 안양시 동안구 경수대로507번길 28 (호계동, 지상1층)",20100621,운영중,통닭(치킨),196135.925413,529834.179442,126.95637810875422,37.367813379622916
치킨마루(인덕원벌말점),"경기도 안양시 동안구 흥안대로456번길 32, 101호 (평촌동, 한일미래(아)상가동)",20121218,운영중,통닭(치킨),198018.861366,532723.393839,126.97762701039098,37.39385183199272
지도리치킨,"경기도 안양시 만안구 박달로 523 (박달동, 지상1층 )",20130115,운영중,통닭(치킨),192105.061982,533717.847179,126.91083193199304,37.40278056636287
피자나라치킨공주,"경기도 안양시 동안구 관악대로404번길 19-15, 지상1층 (관양동)",20130401,운영중,통닭(치킨),197232.995078,533825.85537,126.96874810249241,37.403783234776576
호식이두마리치킨평촌점,"경기도 안양시 동안구 흥안대로 446-15 (평촌동, 지상1층)",20100423,운영중,통닭(치킨),197892.044975,532700.707304,126.97619493821486,37.39364714162166
골뱅이엔치킨,"경기도 안양시 만안구 양화로72번길 83, 지상1층 (안양동)",20100507,폐업 등,통닭(치킨),192716.178339,533373.238688,126.91773747173652,37.39968057760132
비비큐석수점,"경기도 안양시 만안구 석천로 164-1, 지상1층 (석수동)",19990326,운영중,통닭(치킨),191800.920059,534694.222492,126.90738602722655,37.41157525435002
